case,activity,timestamp
Case1,Reject Request,2025-11-07 23:18:00
Case1,Reject Request,2025-11-08 18:11:00
Case1,Reject Request,2025-11-10 19:04:00
Case2,Reject Request,2025-11-09 00:25:00
Case2,Reject Request,2025-11-08 01:56:00
Case2,Reject Request,2025-11-10 12:09:00
Case3,Submit Request,2025-11-07 21:23:00
Case3,Reject Request,2025-11-08 14:08:00
Case3,Reject Request,2025-11-07 20:07:00
Case4,Reject Request,2025-11-09 04:26:00
Case4,Submit Request,2025-11-08 13:59:00
Case4,Reject Request,2025-11-08 18:50:00
Case5,Reject Request,2025-11-08 02:10:00
Case5,Reject Request,2025-11-10 05:58:00
Case5,Submit Request,2025-11-10 14:53:00
Case6,Reject Request,2025-11-08 03:57:00
Case6,Reject Request,2025-11-09 06:39:00
Case6,Reject Request,2025-11-08 23:27:00
Case7,Reject Request,2025-11-10 14:15:00
Case7,Reject Request,2025-11-10 07:44:00
Case7,Reject Request,2025-11-09 11:21:00
Case8,Reject Request,2025-11-09 02:08:00
Case8,Reject Request,2025-11-08 04:02:00
Case8,Reject Request,2025-11-08 04:26:00
Case9,Reject Request,2025-11-08 21:48:00
Case9,Reject Request,2025-11-08 08:34:00
Case9,Reject Request,2025-11-09 14:45:00
Case10,Reject Request,2025-11-07 20:09:00
Case10,Reject Request,2025-11-09 07:17:00
Case10,Reject Request,2025-11-08 20:44:00
Case11,Reject Request,2025-11-08 06:09:00
Case11,Reject Request,2025-11-08 09:13:00
Case11,Reject Request,2025-11-09 17:51:00
Case12,Reject Request,2025-11-10 07:01:00
Case12,Reject Request,2025-11-10 20:17:00
Case12,Reject Request,2025-11-09 03:57:00
Case13,Reject Request,2025-11-10 04:04:00
Case13,Submit Request,2025-11-08 07:34:00
Case13,Reject Request,2025-11-08 20:44:00
Case14,Reject Request,2025-11-09 22:10:00
Case14,Reject Request,2025-11-10 06:42:00
Case14,Reject Request,2025-11-08 22:11:00
Case15,Reject Request,2025-11-10 19:41:00
Case15,Reject Request,2025-11-08 00:18:00
Case15,Reject Request,2025-11-08 16:28:00
Case16,Submit Request,2025-11-08 00:40:00
