case,activity,timestamp
Case5,Submit Request,2025-11-05 04:08:00
Case6,Quality Check,2025-11-07 07:22:00
Case6,Submit Request,2025-11-05 21:42:00
Case6,Submit Request,2025-11-06 04:35:00
Case7,Submit Request,2025-11-07 09:36:00
Case7,Quality Check,2025-11-06 09:55:00
Case7,Submit Request,2025-11-06 14:21:00
Case8,Quality Check,2025-11-05 20:29:00
Case8,Submit Request,2025-11-04 01:07:00
Case8,Quality Check,2025-11-04 13:52:00
Case9,Submit Request,2025-11-05 12:56:00
Case9,Submit Request,2025-11-06 00:54:00
Case9,Quality Check,2025-11-05 23:45:00
Case10,Quality Check,2025-11-04 07:23:00
Case10,Quality Check,2025-11-05 06:56:00


