case,activity,timestamp
Case1,Approve Request,2025-11-06 09:40:00
Case1,Approve Request,2025-11-06 11:27:00
Case1,Notify Completion,2025-11-08 13:35:00
Case2,Approve Request,2025-11-06 04:57:00
Case2,Submit Request,2025-11-06 22:59:00
Case2,Quality Check,2025-11-08 07:10:00
Case3,Notify Completion,2025-11-08 09:10:00
Case3,Submit Request,2025-11-07 21:19:00
Case3,Submit Request,2025-11-06 09:15:00
Case4,Notify Completion,2025-11-07 20:32:00
Case4,Approve Request,2025-11-08 04:12:00
Case4,Submit Request,2025-11-06 02:21:00
Case5,Approve Request,2025-11-08 20:16:00
Case5,Approve Request,2025-11-08 05:01:00
Case5,Approve Request,2025-11-07 13:44:00
Case6,Quality Check,2025-11-08 15:53:00
Case6,Quality Check,2025-11-07 17:12:00
Case6,Approve Request,2025-11-07 10:39:00
Case7,Notify Completion,2025-11-06 02:03:00
Case7,Approve Request,2025-11-08 06:08:00
Case7,Approve Request,2025-11-06 02:49:00
Case8,Submit Request,2025-11-07 03:59:00
Case8,Approve Request,2025-11-08 05:09:00
Case8,Approve Request,2025-11-07 09:06:00
Case9,Notify Completion,2025-11-08 20:16:00
Case9,Quality Check,2025-11-07 04:10:00
Case9,Notify Completion,2025-11-08 07:14:00
Case10,Approve Request,2025-11-06 03:17:00
Case10,Approve Request,2025-11-09 07:40:00
Case10,Approve Request,2025-11-08 01:29:00
Case11,Submit Request,2025-11-08 22:27:00
Case11,Submit Request,2025-11-06 13:45:00
Case11,Approve Request,2025-11-06 02:20:00
Case12,Approve Request,2025-11-08 04:21:00
Case12,Approve Request,2025-11-07 05:35:00
Case12,Notify Completion,2025-11-08 16:07:00
Case13,Notify Completion,2025-11-06 08:44:00
Case13,Submit Request,2025-11-09 01:40:00
Case13,Approve Request,2025-11-06 21:03:00
Case14,Notify Completion,2025-11-07 23:18:00
Case14,Submit Request,2025-11-09 05:40:00
Case14,Approve Request,2025-11-09 09:14:00
Case15,Notify Completion,2025-11-06 19:14:00
Case15,Submit Request,2025-11-07 17:54:00
Case15,Approve Request,2025-11-09 03:26:00
Case16,Approve Request,2025-11-06 18:45:00
Case16,Submit Request,2025-11-07 14:17:00
Case16,Approve Request,2025-11-07 14:51:00
Case17,Approve Request,2025-11-07 17:59:00
Case17,Submit Request,2025-11-08 05:54:00
Case17,Approve Request,2025-11-09 06:26:00
Case18,Quality Check,2025-11-08 04:52:00
Case18,Notify Completion,2025-11-07 23:14:00
Case18,Notify Completion,2025-11-07 21:18:00
Case19,Submit Request,2025-11-07 09:15:00
Case19,Approve Request,2025-11-09 02:40:00
Case19,Notify Completion,2025-11-06 10:02:00
Case20,Quality Check,2025-11-07 09:23:00
Case20,Notify Completion,2025-11-07 16:59:00
Case20,Approve Request,2025-11-08 08:11:00
Case21,Submit Request,2025-11-08 11:03:00
Case21,Approve Request,2025-11-06 20:21:00
Case21,Submit Request,2025-11-07 14:20:00
Case22,Approve Request,2025-11-09 07:24:00
Case22,Submit Request,2025-11-08 03:15:00
Case22,Approve Request,2025-11-08 23:12:00
Case23,Notify Completion,2025-11-06 06:12:00
Case23,Approve Request,2025-11-06 18:17:00
Case23,Approve Request,2025-11-06 07:38:00
Case24,Approve Request,2025-11-09 01:52:00
Case24,Approve Request,2025-11-09 01:29:00
Case24,Notify Completion,2025-11-07 12:31:00
Case25,Approve Request,2025-11-08 18:27:00
Case25,Notify Completion,2025-11-06 17:51:00
Case25,Approve Request,2025-11-08 23:24:00
Case26,Approve Request,2025-11-09 09:36:00
Case26,Submit Request,2025-11-06 16:16:00
Case26,Approve Request,2025-11-08 05:27:00
Case27,Approve Request,2025-11-06 03:51:00
Case27,Submit Request,2025-11-08 00:59:00
Case27,Approve Request,2025-11-06 20:47:00
Case28,Quality Check,2025-11-07 03:51:00
Case28,Approve Request,2025-11-08 04:25:00
Case28,Approve Request,2025-11-06 04:30:00
Case29,Submit Request,2025-11-08 16:29:00
Case29,Approve Request,2025-11-07 23:07:00
Case29,Approve Request,2025-11-08 22:48:00
Case30,Submit Request,2025-11-08 07:48:00
Case30,Approve Request,2025-11-06 19:20:00
Case30,Submit Request,2025-11-08 13:17:00
Case31,Submit Request,2025-11-08 19:22:00
Case31,Notify Completion,2025-11-09 08:47:00
Case31,Approve Request,2025-11-07 17:26:00
Case32,Approve Request,2025-11-08 14:09:00
Case32,Approve Request,2025-11-08 05:12:00
Case32,Approve Request,2025-11-08 23:33:00
Case33,Approve Request,2025-11-09 07:58:00
Case33,Submit Request,2025-11-07 09:24:00
Case33,Submit Request,2025-11-07 06:25:00
Case34,Approve Request,2025-11-08 05:16:00
Case34,Notify Completion,2025-11-09 02:50:00
Case34,Submit Request,2025-11-06 02:39:00
Case35,Notify Completion,2025-11-07 11:08:00
Case35,Notify Completion,2025-11-08 04:50:00
Case35,Submit Request,2025-11-07 15:35:00
Case36,Submit Request,2025-11-09 07:09:00
Case36,Approve Request,2025-11-08 18:41:00
Case36,Approve Request,2025-11-09 07:27:00
Case37,Notify Completion,2025-11-07 21:13:00
